start_hour,year,month,count
13,2015,11,6
14,2015,10,72382
14,2015,11,6
15,2015,10,75758
15,2015,11,16
16,2015,10,88443
16,2015,11,15
17,2015,10,120402
17,2015,11,16
18,2015,10,108476
18,2015,11,8
19,2015,10,71649
19,2015,11,5
20,2015,10,47509
20,2015,11,5
21,2015,10,34779
21,2015,11,8
22,2015,10,26139
22,2015,11,2
23,2015,10,17923
23,2015,11,168
0,2015,11,8981
1,2015,11,5580
2,2015,11,3161
3,2015,11,1939
4,2015,11,1812
5,2015,11,5569
6,2015,11,22394
7,2015,11,49672
8,2015,11,86005
9,2015,11,67627
10,2015,11,46671
11,2015,11,48585
11,2015,12,1
12,2015,11,56635
12,2015,12,1
13,2015,11,59198
13,2015,12,1
14,2015,11,60883
14,2015,12,2
15,2015,11,64700
15,2015,12,1
16,2015,11,70004
16,2015,12,2
17,2015,11,88858
17,2015,12,2
18,2015,11,81523
18,2015,12,6
19,2015,11,55935
19,2015,12,4
20,2015,11,38189
20,2015,12,5
21,2015,11,27941
22,2015,11,21177
22,2015,12,5
23,2015,11,14127
23,2015,12,49
0,2015,12,8032
0,2016,1,2
1,2015,12,4915
2,2015,12,2732
3,2015,12,1742
4,2015,12,1678
5,2015,12,4654
6,2015,12,17473
7,2015,12,39349
7,2016,1,1
8,2015,12,71864
8,2016,1,1
9,2015,12,55594
9,2016,1,2
10,2015,12,37945
10,2016,1,1
11,2015,12,39411
11,2016,1,6
12,2015,12,45948
12,2016,1,3
13,2015,12,48521
13,2016,1,3
14,2015,12,50759
14,2016,1,6
15,2015,12,51945
15,2016,1,6
16,2015,12,56512
16,2016,1,5
17,2015,12,70599
17,2016,1,7
18,2015,12,66998
18,2016,1,4
19,2015,12,44827
19,2016,1,3
20,2015,12,30331
20,2016,1,4
21,2015,12,22422
21,2016,1,6
22,2015,12,17403
22,2016,1,15
23,2015,12,12362
23,2016,1,34
0,2016,1,4349
1,2016,1,2662
2,2016,1,1532
3,2016,1,1015
4,2016,1,1064
5,2016,1,3317
6,2016,1,11868
7,2016,1,23831
8,2016,1,45128
8,2016,2,2
9,2016,1,35551
9,2016,2,1
10,2016,1,22790
10,2016,2,1
11,2016,1,23677
12,2016,1,26965
12,2016,2,2
13,2016,1,29057
13,2016,2,3
14,2016,1,31060
14,2016,2,6
15,2016,1,32053
15,2016,2,4
16,2016,1,36760
16,2016,2,5
17,2016,1,48841
17,2016,2,6
18,2016,1,45878
18,2016,2,4
19,2016,1,31300
19,2016,2,6
20,2016,1,20190
20,2016,2,3
21,2016,1,13699
21,2016,2,3
22,2016,1,10258
22,2016,2,3
23,2016,1,6555
23,2016,2,29
0,2016,2,4472
1,2016,2,2374
2,2016,2,1478
3,2016,2,965
4,2016,2,1062
5,2016,2,3917
6,2016,2,14356
7,2016,2,29034
8,2016,2,53043
9,2016,2,41020
10,2016,2,25161
11,2016,2,25015
11,2016,3,1
12,2016,2,28469
12,2016,3,2
13,2016,2,29766
14,2016,2,31418
14,2016,3,1
15,2016,2,32878
15,2016,3,3
16,2016,2,38851
16,2016,3,3
17,2016,2,54760
17,2016,3,6
18,2016,2,51467
18,2016,3,11
19,2016,2,34346
19,2016,3,2
20,2016,2,22418
21,2016,2,15530
21,2016,3,5
22,2016,2,11596
22,2016,3,3
23,2016,2,7408
23,2016,3,33
0,2016,3,6911
1,2016,3,3681
2,2016,3,1877
3,2016,3,1312
4,2016,3,1446
5,2016,3,4946
6,2016,3,18868
7,2016,3,41433
7,2016,4,2
8,2016,3,77850
8,2016,4,2
9,2016,3,61927
9,2016,4,1
10,2016,3,39427
10,2016,4,1
11,2016,3,42016
11,2016,4,2
12,2016,3,48393
12,2016,4,4
13,2016,3,52506
13,2016,4,9
14,2016,3,54798
14,2016,4,1
15,2016,3,58043
15,2016,4,3
16,2016,3,68206
16,2016,4,8
17,2016,3,96933
17,2016,4,15
18,2016,3,88308
18,2016,4,13
19,2016,3,57659
19,2016,4,10
20,2016,3,36754
20,2016,4,5
21,2016,3,25911
21,2016,4,8
22,2016,3,18278
22,2016,4,4
23,2016,3,12253
23,2016,4,97
0,2016,4,7936
1,2016,4,3882
1,2016,5,2
2,2016,4,2324
2,2016,5,1
3,2016,4,1491
4,2016,4,1539
5,2016,4,5113
6,2016,4,21084
6,2016,5,1
7,2016,4,44469
8,2016,4,80470
8,2016,5,2
9,2016,4,64954
10,2016,4,42966
10,2016,5,1
11,2016,4,46814
11,2016,5,6
12,2016,4,53967
12,2016,5,5
13,2016,4,57384
13,2016,5,12
14,2016,4,61439
14,2016,5,6
15,2016,4,64025
15,2016,5,9
16,2016,4,75734
16,2016,5,20
17,2016,4,105925
17,2016,5,15
18,2016,4,100896
18,2016,5,13
19,2016,4,65896
19,2016,5,23
20,2016,4,41546
20,2016,5,10
21,2016,4,28335
21,2016,5,7
22,2016,4,20714
22,2016,5,5
23,2016,4,13994
23,2016,5,114
0,2016,5,10686
1,2016,5,5569
2,2016,5,3519
3,2016,5,2079
4,2016,5,1908
5,2016,5,5947
6,2016,5,23335
7,2016,5,51198
8,2016,5,92958
9,2016,5,74064
9,2016,6,2
10,2016,5,53308
11,2016,5,57060
11,2016,6,1
12,2016,5,66486
13,2016,5,71044
13,2016,6,1
14,2016,5,72899
15,2016,5,75747
15,2016,6,2
16,2016,5,87245
16,2016,6,3
17,2016,5,120774
17,2016,6,6
18,2016,5,117106
18,2016,6,6
19,2016,5,81163
19,2016,6,5
20,2016,5,54791
20,2016,6,7
21,2016,5,37200
21,2016,6,4
22,2016,5,27576
22,2016,6,6
23,2016,5,18446
23,2016,6,129
0,2016,6,13819
1,2016,6,7244
2,2016,6,4343
3,2016,6,2940
4,2016,6,2507
5,2016,6,8142
5,2016,7,1
6,2016,6,31157
7,2016,6,65343
7,2016,7,1
8,2016,6,115235
9,2016,6,90153
9,2016,7,1
10,2016,6,62729
10,2016,7,3
11,2016,6,64782
11,2016,7,1
12,2016,6,73422
12,2016,7,1
13,2016,6,78100
14,2016,6,80849
14,2016,7,2
15,2016,6,84126
15,2016,7,2
16,2016,6,100799
16,2016,7,4
17,2016,6,148400
17,2016,7,2
18,2016,6,144996
18,2016,7,8
19,2016,6,102372
19,2016,7,3
20,2016,6,71342
20,2016,7,8
21,2016,6,47794
21,2016,7,3
22,2016,6,35005
22,2016,7,8
23,2016,6,24468
23,2016,7,203
0,2016,7,14846
1,2016,7,8077
1,2016,8,3
2,2016,7,5074
3,2016,7,3186
4,2016,7,2768
4,2016,8,1
5,2016,7,7883
6,2016,7,29793
6,2016,8,1
7,2016,7,59436
7,2016,8,1
8,2016,7,101851
8,2016,8,1
9,2016,7,85298
10,2016,7,61752
11,2016,7,65506
11,2016,8,4
12,2016,7,74215
13,2016,7,79581
13,2016,8,4
14,2016,7,81696
14,2016,8,4
15,2016,7,82521
15,2016,8,5
16,2016,7,92188
16,2016,8,3
16,2016,9,1
17,2016,7,125023
17,2016,8,4
18,2016,7,125478
18,2016,8,4
18,2016,9,1
18,2016,10,1
19,2016,7,97468
19,2016,8,5
20,2016,7,68503
20,2016,8,7
21,2016,7,48711
21,2016,8,4
22,2016,7,35151
22,2016,8,5
22,2016,9,1
23,2016,7,23995
23,2016,8,50
0,2016,8,14650
1,2016,8,8050
1,2016,10,1
2,2016,8,4682
2,2016,9,1
3,2016,8,2903
4,2016,8,2876
5,2016,8,8863
6,2016,8,35198
6,2016,9,1
7,2016,8,71837
8,2016,8,124190
8,2016,9,1
9,2016,8,100246
9,2016,9,1
10,2016,8,69349
10,2016,9,3
11,2016,8,71693
12,2016,8,78499
12,2016,9,4
13,2016,8,81041
13,2016,9,2
14,2016,8,82762
14,2016,9,3
15,2016,8,87302
16,2016,8,105615
16,2016,9,3
17,2016,8,154478
17,2016,9,9
18,2016,8,152348
18,2016,9,7
19,2016,8,111357
19,2016,9,3
20,2016,8,74014
20,2016,9,6
21,2016,8,51411
21,2016,9,2
22,2016,8,38405
22,2016,9,6
23,2016,8,25722
23,2016,9,119
0,2016,9,15405
1,2016,9,8129
2,2016,9,4718
3,2016,9,3030
4,2016,9,2894
5,2016,9,9217
6,2016,9,33309
7,2016,9,74962
8,2016,9,128617
8,2016,10,1
9,2016,9,96832
9,2016,10,1
10,2016,9,71809
10,2016,10,1
11,2016,9,77219
11,2016,10,1
12,2016,9,90643
13,2016,9,94799
14,2016,9,96962
14,2016,10,1
15,2016,9,100863
15,2016,10,3
16,2016,9,120345
16,2016,10,2
17,2016,9,163315
17,2016,10,3
18,2016,9,159324
18,2016,10,2
19,2016,9,110487
20,2016,9,71395
20,2016,10,1
21,2016,9,50106
21,2016,10,1
22,2016,9,37900
22,2016,10,2
23,2016,9,26470
23,2016,10,87
0,2016,10,13894
1,2016,10,7746
2,2016,10,4552
2,2016,11,1
3,2016,10,2812
4,2016,10,2659
5,2016,10,9072
6,2016,10,33054
7,2016,10,74850
8,2016,10,131732
8,2016,11,4
9,2016,10,98281
10,2016,10,70221
10,2016,11,3
11,2016,10,72893
11,2016,12,1
12,2016,10,84314
12,2016,11,1
12,2017,1,1
13,2016,10,88748
13,2016,11,3
14,2016,10,90988
14,2016,11,8
15,2016,10,98886
15,2016,11,7
15,2016,12,1
16,2016,10,116354
16,2016,11,3
17,2016,10,162219
