end_station_name,end_station_latitude,end_station_longitude,year,month,count
Dean St & 4 Ave,40.68312489,-73.97895137,2014,1,434
Dean St & 4 Ave,40.68312489,-73.97895137,2014,2,1
Division St & Bowery,40.71413089,-73.9970468,2014,1,815
Division St & Bowery,40.71413089,-73.9970468,2014,2,1
Duane St & Greenwich St,40.71748752,-74.0104554,2014,1,589
Duane St & Greenwich St,40.71748752,-74.0104554,2014,2,1
Duffield St & Willoughby St,40.69221589,-73.9842844,2014,1,243
E 10 St & 5 Ave,40.73331967,-73.99510132,2014,1,1091
E 10 St & 5 Ave,40.73331967,-73.99510132,2014,2,1
E 10 St & Avenue A,40.72740794,-73.98142006,2014,1,1376
E 11 St & 1 Ave,40.72953837,-73.98426726,2014,1,1492
E 11 St & 2 Ave,40.73047309,-73.98672378,2014,1,1485
E 11 St & 2 Ave,40.73047309,-73.98672378,2014,2,2
E 11 St & Broadway,40.73261787,-73.99158043,2014,1,1051
E 11 St & Broadway,40.73261787,-73.99158043,2014,2,1
E 12 St & 3 Ave,40.73223272,-73.98889957,2014,1,1437
E 13 St & Avenue A,40.72955361,-73.98057249,2014,1,1271
E 13 St & Avenue A,40.72955361,-73.98057249,2014,2,1
E 14 St & Avenue B,40.72938685,-73.97772429,2014,1,1007
E 15 St & 3 Ave,40.734232,-73.986923,2014,1,1374
E 16 St & 5 Ave,40.73726186,-73.99238967,2014,1,1393
E 16 St & Irving Pl,40.73524276,-73.98758561,2014,1,787
E 17 St & Broadway,40.73704984,-73.99009296,2014,1,3086
E 19 St & 3 Ave,40.73624527,-73.98473765,2014,1,1142
E 19 St & 3 Ave,40.73624527,-73.98473765,2014,2,1
E 2 St & 2 Ave,40.72502876,-73.99069656,2014,1,1054
E 2 St & Avenue B,40.72217444,-73.98368779,2014,1,1340
E 2 St & Avenue C,40.7208736,-73.98085795,2014,1,716
E 20 St & 2 Ave,40.73587678,-73.98205027,2014,1,1360
E 20 St & FDR Drive,40.73314259,-73.97573881,2014,1,1125
E 20 St & Park Ave,40.73827428,-73.98751968,2014,1,1432
E 23 St & 1 Ave,40.736502,-73.97809472,2014,1,1416
E 25 St & 1 Ave,40.7381765,-73.97738662,2014,1,911
E 25 St & 2 Ave,40.73912601,-73.97973776,2014,1,1306
E 27 St & 1 Ave,40.739445,-73.976806,2014,1,919
E 3 St & 1 Ave,40.72467721,-73.98783413,2014,1,1329
E 30 St & Park Ave S,40.74444921,-73.98303529,2014,1,1200
E 31 St & 3 Ave,40.74394314,-73.97966069,2014,1,1275
E 32 St & Park Ave,40.7457121,-73.98194829,2014,1,1792
E 33 St & 1 Ave,40.74315566,-73.97434726,2014,1,1507
E 33 St & 5 Ave,40.74765947,-73.98490707,2014,1,1115
E 37 St & Lexington Ave,40.748238,-73.978311,2014,1,848
E 39 St & 2 Ave,40.74780373,-73.9734419,2014,1,1583
E 39 St & 3 Ave,40.7489006,-73.97604882,2014,1,1346
E 39 St & 3 Ave,40.7489006,-73.97604882,2014,2,1
E 4 St & 2 Ave,40.7262807,-73.98978041,2014,1,1311
E 40 St & 5 Ave,40.75206231,-73.9816324,2014,1,1416
E 43 St & 2 Ave,40.75022392,-73.97121414,2014,1,387
E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,2014,1,2559
E 45 St & 3 Ave,40.75255434,-73.97282625,2014,1,793
E 47 St & 1 Ave,40.75206862,-73.96784384,2014,1,563
E 47 St & 2 Ave,40.75323098,-73.97032517,2014,1,876
E 47 St & Park Ave,40.75510267,-73.97498696,2014,1,1437
E 48 St & 3 Ave,40.7546011,-73.97187886,2014,1,917
E 5 St & Avenue C,40.72299208,-73.97995466,2014,1,748
E 5 St & Avenue C,40.72299208,-73.97995466,2014,2,1
E 51 St & 1 Ave,40.75455731,-73.96592976,2014,1,567
E 51 St & Lexington Ave,40.75714758,-73.97207836,2014,1,773
E 52 St & 2 Ave,40.756014,-73.967416,2014,1,595
E 53 St & Lexington Ave,40.75828065,-73.97069431,2014,1,721
E 53 St & Madison Ave,40.7597108,-73.97402311,2014,1,722
E 55 St & 2 Ave,40.75797322,-73.96603308,2014,1,614
E 55 St & Lexington Ave,40.75968085,-73.97031366,2014,1,457
E 56 St & 3 Ave,40.75934501,-73.96759673,2014,1,615
E 56 St & Madison Ave,40.761628,-73.972924,2014,1,892
E 58 St & 3 Ave,40.76095756,-73.96724467,2014,1,1168
E 59 St & Sutton Pl,40.75849116,-73.95920622,2014,1,569
E 6 St & Avenue B,40.72453734,-73.98185424,2014,1,1393
E 6 St & Avenue D,40.72228087,-73.97668709,2014,1,440
E 7 St & Avenue A,40.72621788,-73.98379855,2014,1,1279
E 9 St & Avenue C,40.72521311,-73.97768752,2014,1,1136
Elizabeth St & Hester St,40.71729,-73.996375,2014,1,1243
Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,2014,1,213
FDR Drive & E 35 St,40.744219,-73.97121214,2014,1,583
Flushing Ave & Carlton Ave,40.69788349,-73.97350332,2014,1,206
Forsyth St & Broome St,40.71893904,-73.99266288,2014,1,1333
Forsyth St & Canal St,40.7158155,-73.99422366,2014,1,679
Franklin Ave & Myrtle Ave,40.694528,-73.958089,2014,1,80
Franklin St & W Broadway,40.71911552,-74.00666661,2014,1,609
Front St & Gold St,40.70224,-73.982578,2014,1,183
Front St & Maiden Ln,40.70530954,-74.00612572,2014,1,609
Front St & Washington St,40.70255088,-73.98940236,2014,1,513
Fulton St & Clermont Ave,40.68415748,-73.96922273,2014,1,151
Fulton St & Grand Ave,40.68223166,-73.9614583,2014,1,232
Fulton St & Rockwell Pl,40.687979,-73.978474,2014,1,477
Fulton St & Waverly Ave,40.68317813,-73.9659641,2014,1,278
Fulton St & Waverly Ave,40.68317813,-73.9659641,2014,2,1
Fulton St & William St,40.70955958,-74.00653609,2014,1,696
Gallatin Pl & Livingston St,40.69028437,-73.98707105,2014,1,116
Grand Army Plaza & Central Park S,40.7643971,-73.97371465,2014,1,1128
Grand St & Greene St,40.72165481,-74.00234737,2014,1,766
Grand St & Havemeyer St,40.71286844,-73.95698119,2014,1,191
Grand St & Havemeyer St,40.71286844,-73.95698119,2014,2,1
Great Jones St,40.72743423,-73.99379025,2014,1,1399
Greenwich Ave & 8 Ave,40.73901691,-74.00263761,2014,1,2115
Greenwich Ave & Charles St,40.735238,-74.000271,2014,1,995
Greenwich St & N Moore St,40.72043411,-74.01020609,2014,1,1321
Greenwich St & Warren St,40.71542197,-74.01121978,2014,1,1158
Hancock St & Bedford Ave,40.68216564,-73.95399026,2014,1,108
Hanover Pl & Livingston St,40.68864636,-73.98263429,2014,1,63
Harrison St & Hudson St,40.71870987,-74.0090009,2014,1,465
Henry St & Atlantic Ave,40.69089272,-73.99612349,2014,1,482
Henry St & Grand St,40.714215,-73.981346,2014,1,1018
Henry St & Poplar St,40.700469,-73.991454,2014,1,182
Hicks St & Montague St,40.69512845,-73.99595065,2014,1,388
Howard St & Centre St,40.71910537,-73.99973337,2014,1,989
Howard St & Centre St,40.71910537,-73.99973337,2014,2,1
Hudson St & Reade St,40.71625008,-74.0091059,2014,1,686
Jay St & Tech Pl,40.695065,-73.987167,2014,1,264
John St & William St,40.70862144,-74.00722156,2014,1,695
John St & William St,40.70862144,-74.00722156,2014,2,1
Johnson St & Gold St,40.69474881,-73.98362464,2014,1,317
Joralemon St & Adams St,40.69246277,-73.98963911,2014,1,692
Kent Ave & S 11 St,40.70827295,-73.96834101,2014,1,180
LaGuardia Pl & W 3 St,40.72917025,-73.99810231,2014,1,1283
Lafayette Ave & Classon Ave,40.68900443,-73.96023854,2014,1,188
Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,2014,1,356
Lafayette Ave & St James Pl,40.68851534,-73.9647628,2014,1,171
Lafayette St & E 8 St,40.73028666,-73.9907647,2014,1,3053
Lafayette St & E 8 St,40.73028666,-73.9907647,2014,2,1
Lafayette St & Jersey St,40.72456089,-73.99565293,2014,1,566
Laight St & Hudson St,40.72185379,-74.00771779,2014,1,194
Lawrence St & Willoughby St,40.69236178,-73.98631746,2014,1,1698
Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,2014,1,169
Lexington Ave & Classon Ave,40.68676793,-73.95928168,2014,1,128
Lexington Ave & E 24 St,40.74025878,-73.98409214,2014,1,1627
Lexington Ave & E 26 St,40.74147286,-73.98320928,2014,1,1765
Liberty St & Broadway,40.70905623,-74.01043382,2014,1,1009
